id_paczkomat,miejscowosc,klasa_miejscowosci
ADA01M,ADAMÓW,wieś
ADA01N,ADAMÓW,wieś
ADK01M,ADAMÓWKA,wieś
ADM01A,ADAMOWIZNA,wieś
ADM01M,ADAMOWIZNA,wieś
ADM02M,ADAMOWIZNA,wieś
ADR01M,ALEKSANDRÓWKA,wieś
ADV01M,ADAMÓW,wieś
ADW01M,ADAMOWICE,wieś
AEX01M,ALEKSANDRÓW,wieś
AGU01M,AUGUSTÓWKA,wieś
AJE01M,ANDRZEJEWO,wieś
AKS01A,ALEKSANDRIA,wieś
ALB01E,ALBIGOWA,wieś
ALB01F,ALBIGOWA,wieś
ALB01M,ALBIGOWA,wieś
ALB02M,ALBIGOWA,wieś
ALK01A,ALEKSANDRÓW KUJAWSKI,miasto do 20 tys. mieszkańców
ALK01M,ALEKSANDRÓW KUJAWSKI,miasto do 20 tys. mieszkańców
ALK02M,ALEKSANDRÓW KUJAWSKI,miasto do 20 tys. mieszkańców
ALK03M,ALEKSANDRÓW KUJAWSKI,miasto do 20 tys. mieszkańców
ALK04M,ALEKSANDRÓW KUJAWSKI,miasto do 20 tys. mieszkańców
ALK05M,ALEKSANDRÓW KUJAWSKI,miasto do 20 tys. mieszkańców
ALK06M,ALEKSANDRÓW KUJAWSKI,miasto do 20 tys. mieszkańców
ALK07M,ALEKSANDRÓW KUJAWSKI,miasto do 20 tys. mieszkańców
ALK08M,ALEKSANDRÓW KUJAWSKI,miasto do 20 tys. mieszkańców
ALL01A,ALEKSANDRÓW LÓDZKI,miasto 20 - 50 tys. mieszkańców
ALL01G,ALEKSANDRÓW LÓDZKI,miasto 20 - 50 tys. mieszkańców
ALL01M,ALEKSANDRÓW LÓDZKI,miasto 20 - 50 tys. mieszkańców
ALL01N,ALEKSANDRÓW LÓDZKI,miasto 20 - 50 tys. mieszkańców
ALL01ZIH,ALEKSANDRÓW LÓDZKI,miasto 20 - 50 tys. mieszkańców
ALL02M,ALEKSANDRÓW LÓDZKI,miasto 20 - 50 tys. mieszkańców
ALL02N,ALEKSANDRÓW LÓDZKI,miasto 20 - 50 tys. mieszkańców
ALL03M,ALEKSANDRÓW LÓDZKI,miasto 20 - 50 tys. mieszkańców
ALL03N,ALEKSANDRÓW LÓDZKI,miasto 20 - 50 tys. mieszkańców
ALL04M,ALEKSANDRÓW LÓDZKI,miasto 20 - 50 tys. mieszkańców
ALL04N,ALEKSANDRÓW LÓDZKI,miasto 20 - 50 tys. mieszkańców
ALL05M,ALEKSANDRÓW LÓDZKI,miasto 20 - 50 tys. mieszkańców
ALL06M,ALEKSANDRÓW LÓDZKI,miasto 20 - 50 tys. mieszkańców
ALL07M,ALEKSANDRÓW LÓDZKI,miasto 20 - 50 tys. mieszkańców
ALL08M,ALEKSANDRÓW LÓDZKI,miasto 20 - 50 tys. mieszkańców
ALL09M,ALEKSANDRÓW LÓDZKI,miasto 20 - 50 tys. mieszkańców
ALL10M,ALEKSANDRÓW LÓDZKI,miasto 20 - 50 tys. mieszkańców
ALL11M,ALEKSANDRÓW LÓDZKI,miasto 20 - 50 tys. mieszkańców
ALW01M,ALWERNIA,miasto do 20 tys. mieszkańców
ALW01MP,ALWERNIA,miasto do 20 tys. mieszkańców
ALW02M,ALWERNIA,miasto do 20 tys. mieszkańców
ALW02MP,ALWERNIA,miasto do 20 tys. mieszkańców
ALX01M,ALEKSANDRÓW,wieś
ANB01M,ANNOBÓR,wieś
AND01A,ANDRYCHÓW,miasto 20 - 50 tys. mieszkańców
AND01AP,ANDRYCHÓW,miasto 20 - 50 tys. mieszkańców
AND01M,ANDRYCHÓW,miasto 20 - 50 tys. mieszkańców
AND01MP,ANDRYCHÓW,miasto 20 - 50 tys. mieszkańców
AND01N,ANDRYCHÓW,miasto 20 - 50 tys. mieszkańców
AND02M,ANDRYCHÓW,miasto 20 - 50 tys. mieszkańców
AND02N,ANDRYCHÓW,miasto 20 - 50 tys. mieszkańców
AND03M,ANDRYCHÓW,miasto 20 - 50 tys. mieszkańców
AND04M,ANDRYCHÓW,miasto 20 - 50 tys. mieszkańców
AND05M,ANDRYCHÓW,miasto 20 - 50 tys. mieszkańców
AND06M,ANDRYCHÓW,miasto 20 - 50 tys. mieszkańców
AND07M,ANDRYCHÓW,miasto 20 - 50 tys. mieszkańców
AND08M,ANDRYCHÓW,miasto 20 - 50 tys. mieszkańców
ANJ01A,LÓDZ,miasto powyżej 500 tys. mieszkańców
ANN01G,ANNOPOL,miasto do 20 tys. mieszkańców
ANN01M,ANNOPOL,miasto do 20 tys. mieszkańców
ANN02M,ANNOPOL,miasto do 20 tys. mieszkańców
ANO01M,ANTONIE,wieś
ANR01A,ANDRESPOL,wieś
ANR01M,ANDRESPOL,wieś
ANR02M,ANDRESPOL,wieś
ANR03M,ANDRESPOL,wieś
ANT01M,ANTONIÓW,wieś
ANW01M,ANTONIÓWKA,wieś
ANZ01M,ANDRZEJÓWKA,wieś
AOW01M,ADAMOWO,wieś
AOW02M,ADAMOWO,wieś
APX01M,ABRAMOWICE PRYWATNE,wieś
ARL01M,ARLAMÓW,wieś
AUG01M,AUGUSTÓW,miasto 20 - 50 tys. mieszkańców
AUG01N,AUGUSTÓW,miasto 20 - 50 tys. mieszkańców
AUG01W,AUGUSTÓW,miasto 20 - 50 tys. mieszkańców
AUG02A,AUGUSTÓW,miasto 20 - 50 tys. mieszkańców
AUG02M,AUGUSTÓW,miasto 20 - 50 tys. mieszkańców
AUG02N,AUGUSTÓW,miasto 20 - 50 tys. mieszkańców
AUG03A,AUGUSTÓW,miasto 20 - 50 tys. mieszkańców
AUG03M,AUGUSTÓW,miasto 20 - 50 tys. mieszkańców
AUG03N,AUGUSTÓW,miasto 20 - 50 tys. mieszkańców
AUG04M,AUGUSTÓW,miasto 20 - 50 tys. mieszkańców
AUG04N,AUGUSTÓW,miasto 20 - 50 tys. mieszkańców
AUG05M,AUGUSTÓW,miasto 20 - 50 tys. mieszkańców
AUG05N,AUGUSTÓW,miasto 20 - 50 tys. mieszkańców
AUG06M,AUGUSTÓW,miasto 20 - 50 tys. mieszkańców
AUG07M,AUGUSTÓW,miasto 20 - 50 tys. mieszkańców
AUG08M,AUGUSTÓW,miasto 20 - 50 tys. mieszkańców
AUG300,AUGUSTÓW,miasto 20 - 50 tys. mieszkańców
AUG848,AUGUSTÓW,miasto 20 - 50 tys. mieszkańców
BAA01N,BIALA,wieś
BAB01M,BABIMOST,miasto do 20 tys. mieszkańców
BAB01N,BABIMOST,miasto do 20 tys. mieszkańców
BAB02M,BABIMOST,miasto do 20 tys. mieszkańców
BAB03M,BABIMOST,miasto do 20 tys. mieszkańców
BAC01A,BARCZEWO,miasto do 20 tys. mieszkańców
BAC01G,BARCZEWO,miasto do 20 tys. mieszkańców
BAC01M,BARCZEWO,miasto do 20 tys. mieszkańców
BAC02M,BARCZEWO,miasto do 20 tys. mieszkańców
BAC03M,BARCZEWO,miasto do 20 tys. mieszkańców
BAC04M,BARCZEWO,miasto do 20 tys. mieszkańców
BAD01N,BADKOWO,wieś
BAD02N,BADKOWO,wieś
BAE01F,BANIE,wieś
BAE01M,BANIE,wieś
BAG01M,BARWALD GÓRNY,wieś
BAG02M,BARWALD GÓRNY,wieś
BAH01M,BRACHNOWO,wieś
BAI01M,BIALKI,wieś
BAI02M,BIALKI,wieś
BAJ01M,BAJDY,wieś
BAK01F,BAKALARZEWO,wieś
BAK01M,BAKALARZEWO,wieś
BAL01G,BIESAL,wieś
BAM01G,BANIE MAZURSKIE,wieś
BAM01M,BANIE MAZURSKIE,wieś
BAN01A,BANINO,wieś
BAN01M,BANINO,wieś
BAN01N,BANINO,wieś
BAN02M,BANINO,wieś
BAN02N,BANINO,wieś
BAN03M,BANINO,wieś
BAN04M,BANINO,wieś
BAN05M,BANINO,wieś
BAN06M,BANINO,wieś
BANI01M,BANSKA NIZNA,wieś
BAO01A,BARDO,miasto do 20 tys. mieszkańców
BAP01M,BIALA-PARCELA,wieś
BAQ01M,BAZANÓWKA,wieś
