id_klient,kategoria,zgoda_marketingowa
EZNN08756728558789,office,true
PQDQ50319580649846,pets,true
ILIW22855294396545,pets,true
CHKM11557944525210,pets,true
AAYP94510865279436,office,true
BMRC25251689768468,fashion,true
CMYG88965550756276,pets,true
LKTO38558761695606,pets,true
BOSO49285204249560,office,true
HINO69403267900468,pets,true
JSRF83255438750458,office,true
ESCM30885693557609,office,true
UKDP10187282800264,pets,true
GGOV97807443044963,pets,true
OTED18666783840666,pets,true
IZHE54260091553382,fashion,true
LZWX14506125543247,pets,true
DWCT60516127627134,fashion,true
VWAH68792505426339,pets,true
UFGB28999420784108,pets,true
RTSE65458418352285,office,true
ZYUM19353825309988,fashion,true
HWXA85937402598936,office,true
NDRP48740225839123,pets,true
FBOM24652937548000,pets,true
MHRY59568826921146,office,true
JPPZ56111905443564,fashion,true
WBIE41649736546545,office,true
AJBY83186953041072,fashion,true
JTFK16720138458399,office,true
CFKU18410200564397,office,true
KOFC18398072025001,office,true
BJCQ81261771412093,fashion,true
AXZG12397917657695,pets,true
ARNP17360112162187,pets,true
INOO74645335977320,pets,true
MHMY10088915544414,pets,true
SWBA74470502790891,pets,true
LOQA54637207616882,pets,true
MZMC20587376288078,office,true
GLZM90027442105614,pets,true
UEUT93917244388876,pets,true
LBBP75684241663036,fashion,true
CEQJ89351498505141,fashion,true
ZIET73493381290463,office,true
IRGX34097825284283,fashion,true
HMRH15184122961768,office,true
NKBC94751055324860,pets,true
QOPN89836913475663,pets,true
MRTR42744510700883,fashion,true
DYWA21050358544089,office,true
OQOJ56586062418877,pets,true
BSDC06937239537998,pets,true
QWXH48529223801593,pets,true
PIAC54546815055520,office,true
QGPQ86823792488934,office,true
JNFX11438686174153,pets,true
EDYJ83266441803972,pets,true
MMSR85295617901274,pets,true
BDBJ26720809265409,pets,true
GYDC18383588889499,pets,true
CAAD53294490035506,pets,true
WVSX83989925682606,pets,true
CSDH01202383667584,pets,true
GFZN20328119965900,fashion,true
JLEM60669286459960,pets,true
YHJS41175864039642,pets,true
WAWL45402367344639,pets,true
JDHK19607811015510,fashion,true
SFQL45531105615654,pets,true
RJYD29692901956315,pets,true
TCOT52042032018264,fashion,true
AIJY76107159863238,office,true
WCVQ93244961830417,office,true
OMSU49234307232346,office,true
ABBG20844017045078,pets,true
YZMD73708923785006,office,true
MJJD30337431101476,pets,true
RNYJ28748282903956,pets,true
ZJHV24059773446882,pets,true
ZFBS89156083564271,pets,true
FWNA53369349315387,office,true
QQSU59955825449980,pets,true
BNHB14252833077720,pets,true
QRWJ29697006816452,fashion,true
EEBR77525777806172,pets,true
RXQD03498648840489,pets,true
OZFQ90456973411535,pets,true
YFKO28635951923587,pets,true
RIRM21038205963325,pets,true
YVLR03438751474155,fashion,true
FEPG63317217833036,office,true
OHSK86760937661069,fashion,true
PTML77940073492013,fashion,true
DDPG52538396968972,office,true
YPOH15979914060742,fashion,true
THFW11360244707292,office,true
PQRA60002170497002,pets,true
NBXA46378049940339,fashion,true
DKDX55655462768027,office,true
MXAQ95769862102756,pets,true
VZRI89673896379533,office,true
XCPZ13416856337538,fashion,true
UMTR97455116852057,pets,true
OKQS30107224271546,pets,true
GZXJ39934988690984,pets,true
BKPP62106177093882,fashion,true
DWIH17888033572788,fashion,true
XPKT13666635492851,pets,true
ZUGL89275858749896,pets,true
CVSL04420283272646,office,true
CSVE03417796247719,pets,true
JVTB87245456483474,pets,true
LEEU50414958534475,pets,true
HTVM82438182409177,pets,true
AHHC84671073115528,office,true
CTLR96245751060352,office,true
HWRI05887561908185,fashion,true
MVNS95831314999357,office,true
XJYW49007461964075,fashion,true
GGPQ26054705054453,office,true
AMQI02080552236619,pets,true
YQXS26905261134882,pets,true
KMAN87777335057962,pets,true
LVUS21314700046527,fashion,true
CZLR41079457272225,pets,true
KKSD21085971555391,pets,true
JQCE25427947687237,fashion,true
FLBN74662557504287,pets,true
AUJM53152601760952,fashion,true
FWMS84614759206666,office,true
EAUK01344553781432,office,true
BZBH11671049616659,pets,true
AAIC58687806588995,pets,true
IFOC35924072847766,pets,true
MWGK66956659835067,fashion,true
JZHK89189373287390,pets,true
UHIT94653584901770,office,true
XTDH48911661403872,office,true
MLDP01796861331750,fashion,true
RHRL31199694382548,pets,true
CXQB48167112007195,fashion,true
VLQY49915190913617,pets,true
ERKM49497436289214,pets,true
WKHQ51106836492217,fashion,true
WELB56960296975956,office,true
ALKT17434834127778,fashion,true
ACTU82473972767544,office,true
EBHF14085091517610,pets,true
PPEL02817728626551,pets,true
YGFZ49528613486783,fashion,true
TQUO67201493416599,pets,true
AXEI00809142227991,pets,true
XTHE38086380114491,pets,true
VBDM15771289806142,pets,true
ONPX03092040230654,fashion,true
GLSC09951635597431,pets,true
ZXSW66102730915001,pets,true
WZZT43863728729836,fashion,true
EQWF30798281985399,pets,true
FKCZ47154998243434,fashion,true
EEIU56753031174222,pets,true
MKOF97022986853923,fashion,true
WJYP17584056124006,fashion,true
VWXQ39026067785360,pets,true
AEQJ49833244062842,pets,true
HCEA24891257624928,fashion,true
YEBA97541984840556,fashion,true
KXYV19467246095940,pets,true
CHLM05183561076139,pets,true
UQPT14694646691474,pets,true
QYHA27705270816391,pets,true
JFNS70593343920283,fashion,true
FQBH28367486515934,pets,true
DYJL45185248200083,pets,true
EKRY69799377908736,pets,true
BFPK11440770641654,pets,true
LSED56746463418137,pets,true
FSHB92949349617980,office,true
XADN83319151851854,pets,true
NDRY19078860549465,pets,true
RJQV96121281371860,pets,true
BKSK20783619411897,pets,true
VGAK29053655161015,office,true
HQTZ19862646391403,pets,true
YYHQ94997864077067,fashion,true
XZIQ24868917045011,fashion,true
YFXA21351002510424,pets,true
RAEN40876165517719,fashion,true
EONI34840453268926,pets,true
NVMK55418425512411,pets,true
ALTN68652797390969,office,true
MMVO74083567232233,pets,true
RRKV79181674774500,pets,true
XMFC79678107370077,pets,true
HTAH94770337626153,fashion,true
XVEM33610867389500,pets,true
GPPL39618435489199,office,true
ULOY37005224774461,pets,true
NXTR34551462167548,pets,true
WAXA38331277667347,pets,true
SIZX53556711835380,pets,true
ASJZ35178307769081,pets,true
GDBN32546600517401,fashion,true
TLBI35533697501648,pets,true
CIDY78830735058898,pets,true
XSBF83120967014749,office,true
OBCW49834202075148,pets,true
QDFB69021199584660,pets,true
UBOK21382438733859,pets,true
ARZT13438312660908,pets,true
ZAVZ95264473390804,office,true
AHSM67669921527507,office,true
GIUO23172971470320,fashion,true
QPJG73509443586332,fashion,true
TXHE72707459736913,fashion,true
NKPT96164383232734,pets,true
EXES61239744629210,office,true
SSVD86391909845001,fashion,true
